courseID,teacherID,teacherName,commentsURL
92118,6520,William-Stout,https://www.applyweb.com/eval/new/showreport?c=92118&i=6520&t=181&r=9&d=true
93837,348,Jamal-Thorne,https://www.applyweb.com/eval/new/showreport?c=93837&i=348&t=181&r=9&d=true
89944,4204,Khalid-Kodi,https://www.applyweb.com/eval/new/showreport?c=89944&i=4204&t=181&r=9&d=true
89778,4736,Skylar-Borgstrom,https://www.applyweb.com/eval/new/showreport?c=89778&i=4736&t=181&r=9&d=true
90045,4759,Brooke-Stewart,https://www.applyweb.com/eval/new/showreport?c=90045&i=4759&t=181&r=9&d=true
90654,4204,Khalid-Kodi,https://www.applyweb.com/eval/new/showreport?c=90654&i=4204&t=181&r=9&d=true
91386,4759,Brooke-Stewart,https://www.applyweb.com/eval/new/showreport?c=91386&i=4759&t=181&r=9&d=true
92887,5981,Steven-Cabral,https://www.applyweb.com/eval/new/showreport?c=92887&i=5981&t=181&r=9&d=true
92888,348,Jamal-Thorne,https://www.applyweb.com/eval/new/showreport?c=92888&i=348&t=181&r=9&d=true
91322,4736,Skylar-Borgstrom,https://www.applyweb.com/eval/new/showreport?c=91322&i=4736&t=181&r=9&d=true
92602,7465,Wen-hao-Tien,https://www.applyweb.com/eval/new/showreport?c=92602&i=7465&t=181&r=9&d=true
92210,7465,Wen-hao-Tien,https://www.applyweb.com/eval/new/showreport?c=92210&i=7465&t=181&r=9&d=true
93670,6444,Yulia-Pinkusevich,https://www.applyweb.com/eval/new/showreport?c=93670&i=6444&t=181&r=9&d=true
91649,5601,Sally-Lee,https://www.applyweb.com/eval/new/showreport?c=91649&i=5601&t=181&r=9&d=true
90859,6580,Michael-Aghahowa,https://www.applyweb.com/eval/new/showreport?c=90859&i=6580&t=181&r=9&d=true
90155,636,Sophia-Ainslie,https://www.applyweb.com/eval/new/showreport?c=90155&i=636&t=181&r=9&d=true
91916,5601,Sally-Lee,https://www.applyweb.com/eval/new/showreport?c=91916&i=5601&t=181&r=9&d=true
